,Commodity and Year,Historical data,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,AnnualAvg
0,Metals and metal products,0,,,,,,,,,,,,,
1,2021,,241.5,246.6,260.0,273.4,283.8,294.5,305.713,312.994,318.335,324.537,332.097,331.867,293.782
2,2022,,334.372,330.014,336.023,341.670,345.243,339.968,(p)328.912,(p)324.254,(p)316.539,(p)308.052,,,
3,Iron and steel,,,,,,,,,,,,,,
4,2021,,250.8,260.5,292.2,321.3,332.6,354.9,382.821,395.232,405.663,417.852,433.525,433.252,356.726
5,2022,,423.397,394.696,397.639,405.655,424.725,412.324,(p)393.190,(p)374.161,(p)354.272,(p)335.090,,,
6,Foundry and forge shop products,,,,,,,,,,,,,,
7,2021,,218.3,220.3,223.5,226.9,226.5,229.0,231.905,234.823,235.241,238.185,240.071,243.162,230.666
8,2022,,249.128,251.813,264.516,270.438,276.063,276.346,(p)278.783,(p)274.868,(p)274.732,(p)273.022,,,
9,Steel mill products,,,,,,,,,,,,,,
10,2021,,208.0,228.8,266.4,310.2,321.8,343.4,380.189,399.074,418.472,435.669,448.746,449.711,350.866
11,2022,,441.497,400.067,376.596,386.663,427.400,420.183,(p)404.327,(p)384.957,(p)359.277,(p)335.725,,,
12,Nonferrous metal ores,,,,,,,,,,,,,,
13,2021,,477.0,474.7,472.5,492.0,541.1,523.0,521.586,524.446,558.197,522.262,541.014,522.790,514.212
14,2022,,563.162,562.512,598.191,596.047,574.139,564.826,(p)510.392,(p)529.145,(p)516.771,(p)493.249,,,
15,Copper ores,,,,,,,,,,,,,,
16,2021,,,,,,,,,,,,,,
17,2022,,,,,,,,,,,,,,
18,Primary nonferrous metals,,,,,,,,,,,,,,
19,2021,,218.3,222.5,228.7,235.4,257.2,254.7,256.054,260.429,267.362,277.874,267.626,269.049,251.264
20,2022,,282.527,296.755,301.980,304.417,272.069,266.501,(p)240.844,(p)244.700,(p)232.975,(p)226.757,,,
21,"Other nonferrous metals, unalloyed",,,,,,,,,,,,,,
22,2021,,315.5,324.3,330.6,337.8,368.6,375.3,378.082,382.214,380.567,393.325,402.317,403.741,366.023
23,2022,,414.514,431.858,447.450,452.450,410.571,401.908,(p)355.015,(p)352.923,(p)333.667,(p)324.395,,,
24,Nonferrous scrap,,,,,,,,,,,,,,
25,2021,,467.5,473.3,489.1,509.5,566.5,563.0,565.016,559.180,519.801,524.234,523.501,498.479,521.584
26,2022,,522.815,558.251,611.013,607.695,551.178,519.771,(p)468.450,(p)492.096,(p)482.603,(p)461.603,,,
27,Copper base scrap,,,,,,,,,,,,,,
28,2021,,537.9,540.8,602.4,620.4,667.3,642.0,636.730,634.905,633.768,652.017,653.300,649.540,622.595
29,2022,,666.758,675.849,686.743,696.886,645.087,627.662,(p)532.319,(p)548.367,(p)554.965,(p)538.946,,,
30,Aluminum base scrap,,,,,,,,,,,,,,
31,2021,,211.5,214.7,218.0,224.7,261.6,277.1,278.263,291.898,286.568,290.014,289.474,289.429,261.100
32,2022,,293.420,301.255,356.897,357.652,324.600,318.379,(p)237.371,(p)257.525,(p)245.470,(p)227.399,,,
33,Secondary nonferrous metals,,,,,,,,,,,,,,
34,2021,,294.2,299.2,289.3,294.1,313.2,317.0,316.593,318.131,314.298,314.953,317.511,319.046,308.962
35,2022,,327.863,340.280,346.519,361.298,349.907,338.402,(p)318.123,(p)325.690,(p)311.824,(p)304.763,,,
36,Secondary aluminum,,,,,,,,,,,,,,
37,2021,,204.1,207.8,215.6,227.2,236.8,242.9,245.947,253.237,259.721,272.184,283.679,283.852,244.417
38,2022,,290.829,307.030,320.278,343.830,343.777,330.633,(p)317.500,(p)308.387,(p)303.025,(p)291.602,,,
39,"Copper, alloyed and unalloyed",,,,,,,,,,,,,,
40,2021,,648.3,686.5,672.1,691.3,707.5,745.7,757.302,730.343,742.559,732.761,723.476,717.972,712.979
41,2022,,723.741,746.742,753.395,754.770,754.799,758.814,(p)726.902,(p)728.690,(p)711.387,(p)675.075,,,
42,Aluminum mill shapes,,,,,,,,,,,,,,
43,2021,,193.5,196.4,200.3,211.0,218.4,226.0,226.843,235.604,243.212,253.771,258.862,244.037,225.653
44,2022,,253.817,271.422,278.240,287.613,278.597,262.278,(p)250.971,(p)241.041,(p)238.008,(p)230.052,,,
45,Copper and brass mill shapes,,,,,,,,,,,,,,
46,2021,,491.9,492.7,537.5,548.8,597.8,604.2,598.259,604.921,600.569,600.876,607.967,589.898,572.957
47,2022,,608.176,612.889,630.319,644.250,617.893,618.559,(p)552.613,(p)552.951,(p)559.195,(p)531.671,,,
48,Nonferrous wire and cable,,,,,,,,,,,,,,
49,2021,,270.4,274.1,286.5,299.0,309.9,320.1,324.557,330.125,331.113,341.698,346.657,341.122,314.603
50,2022,,342.739,349.709,361.759,366.524,365.298,360.613,(p)350.429,(p)350.252,(p)346.827,(p)345.678,,,
51,Plumbing fixture fittings and trim,,,,,,,,,,,,,,
52,2021,,340.0,345.4,345.7,346.5,348.0,349.3,350.144,351.976,351.976,351.976,353.636,355.166,349.159
53,2022,,383.924,383.924,383.924,381.452,382.890,384.008,(p)386.494,(p)386.700,(p)386.700,(p)388.653,,,
54,Fabricated structural metal products,,,,,,,,,,,,,,
55,2021,,245.5,252.9,263.3,272.6,282.4,297.6,307.527,317.968,325.666,331.374,341.086,346.224,298.675
56,2022,,350.142,355.049,361.026,367.465,372.742,374.512,(p)372.886,(p)373.202,(p)370.554,(p)367.726,,,
57,Sheet metal products,,,,,,,,,,,,,,
58,2021,,217.3,223.2,231.2,243.1,251.2,264.3,266.216,275.740,278.124,281.785,288.165,293.646,259.503
59,2022,,296.978,301.958,306.893,309.105,314.004,317.159,(p)318.649,(p)322.124,(p)319.913,(p)319.480,,,
60,Prefabricated metal buildings,,,,,,,,,,,,,,
61,2021,,383.1,404.4,421.2,426.7,439.2,464.3,503.347,521.006,527.247,530.868,531.523,534.424,473.952
62,2022,,534.908,533.526,529.431,535.013,556.245,543.504,(p)536.989,(p)543.896,(p)532.865,(p)518.983,,,
63,Miscellaneous metal products,,,,,,,,,,,,,,
64,2021,,181.3,181.9,183.6,185.5,187.1,190.6,193.115,196.209,198.369,200.958,202.205,205.000,192.147
65,2022,,207.591,209.656,212.585,214.216,216.848,218.080,(p)219.058,(p)219.706,(p)219.822,(p)220.522,,,
66,Rubber and plastic products,,,,,,,,,,,,,,
67,2021,,197.3,198.6,201.9,207.6,212.0,216.1,220.394,223.657,227.078,231.221,234.785,237.608,217.358
68,2022,,240.988,243.284,245.510,249.087,251.902,255.359,(p)257.927,(p)259.827,(p)259.181,(p)257.729,,,
69,Rubber and rubber products,,,,,,,,,,,,,,
70,2021,,181.1,180.8,181.3,183.5,186.1,187.9,191.741,194.837,197.201,198.549,198.905,199.691,190.137
71,2022,,205.938,208.021,209.003,213.614,214.667,217.002,(p)220.371,(p)221.368,(p)221.498,(p)221.768,,,
72,Plastic products,,,,,,,,,,,,,,
73,2021,,210.4,212.3,216.7,223.8,229.0,234.1,238.724,242.166,246.089,251.378,256.214,259.865,235.066
74,2022,,262.351,264.808,267.558,270.900,274.444,278.428,(p)280.806,(p)283.098,(p)282.153,(p)280.035,,,
75,Construction products from plastics,,,,,,,,,,,,,,
76,2021,,243.3,246.4,252.7,265.7,272.3,281.7,294.134,302.203,305.951,314.861,320.156,326.596,285.510
77,2022,,331.804,336.597,341.749,347.969,352.926,356.546,(p)360.635,(p)361.889,(p)360.498,(p)357.484,,,
78,Plastics pipe,,,,,,,,,,,,,,
79,2021,,122.9,124.5,132.7,146.5,152.8,159.9,171.403,179.943,181.817,189.569,191.043,198.842,162.660
80,2022,,201.480,203.249,208.886,211.609,216.654,216.323,(p)220.991,(p)220.543,(p)218.683,(p)214.188,,,
